Direktorat;id_direktorat;nama_kegiatan;kode_kegiatan;nama_rincian_output;kode_rincian_output;Komoditas;id_komoditas;Tahun;Provinsi;kode_prov;Kab/Kota;kode_kab;Kec;kode_kec;Desa;kode_desa;Nama Kelompok;Output;Satuan;id_satuan;Jumlah_Output;Target;Anggaran;Progres;;;nama_desa;kode_desa;;direktorat;id_direktorat;;kode_kegiatan;nama_kegiatan;nama_rincian_output;kode_rincian_output;jenis_output;;komoditas;id_komoditas;kode_komoditas;;satuan;id_satuan
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Kentang;4;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Lawang;5203152002;Gapoktan Sembalun Makmur Sejahtera;Volume;Kilogram;3;50.000,00;;;Bantuan sudah diterima;;;Abiansemal;5103032008;;Sekretariat Direktorat Jenderal;1;;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Pekarangan Hortikultura;1771.QDD.011;jumlah kelompok;;Bawang Putih;1;BPT;;HA;1
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Jawa Tengah;33;Temanggung;3323;Tlogomulyo;332314;Legoksari;3323142009;KT. Mantep;Volume;Kilogram;3;2.000,00;;;Bantuan sudah diterima;;;Abiansemal Dauh Yeh Cani;5103032016;;Direktorat Perbenihan;2;;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Kawasan Bawang Merah;1771.RAI.010;luas kawasan;;Bawang Merah;2;BMR;;Kelompok;2
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Jawa Tengah;33;Temanggung;3323;Kedu;332307;Kundisari;3323072009;KT. Sido Rejo;Volume;Kilogram;3;2.000,00;;;Bantuan sudah diterima;;;Angantaka;5103032005;;Direktorat Pelindungan;3;;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Kawasan Aneka Cabai;1771.RAI.011;luas kawasan;;Cabai;3;CB;;Kilogram;3
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Sendana;760503;Mosso;7605031001;KT. Mosso Mande;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Ayunan;5103032012;;Direktorat Sayuran dan Tanaman Obat;4;;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Kawasan Bawang Putih;1771.RAI.014;luas kawasan;;Kentang;4;KTG;;Unit;4
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae Timur;760508;Tande Timur;7605081008;KT. Hijau Lestari;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Blahkiuh;5103032011;;Direktorat Buah dan Florikultura;5;;4581;Perbenihan Hortikultura;Sertifikat Tanda Daftar Varietas Hortikultura;4581.PDC.021;jumlah produk;;Durian;5;DUR;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae Timur;760508;Tande;7605081005;KT. Bunga Tanjong;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Bongkasa;5103032009;;Direktorat Hilirisasi Hasil Hortikultura;6;;4581;Perbenihan Hortikultura;Peredaran benih hortikultura yang diawasi;4581.QKB.011;jumlah produk;;Jagung Manis;6;JGM;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae Timur;760508;Tande;7605081005;KT. Cakra Buana;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Bongkasa Pertiwi;5103032018;;;;;4581;Perbenihan Hortikultura;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;luas kawasan;;P2B;7;P2B;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Tubo;760507;Onang;7605072001;KT. Buttu Onang;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Darmasaba;5103032001;;;;;4581;Perbenihan Hortikultura;Benih Sebar Batang Hortikultura;4581.RAI.011;jumlah unit;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae;760501;Pamboborang;7605012012;KT. Angguning;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Jagapati;5103032004;;;;;1773;Perlindungan Hortikultura;Area Pengendalian OPT Hortikultura;1773.RAI.010;jumlah unit;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae;760501;Pamboborang;7605012012;KT. Harapan;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Mambal;5103032007;;;;;1773;Perlindungan Hortikultura;Area Penanganan DPI Hortikultura;1773.RAI.013;luas kawasan;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae;760501;Pamboborang;7605012012;KT. Pabettengan;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Mekar Bhuwana;5103032015;;;;;1773;Perlindungan Hortikultura;Sarana Perlindungan Hortikultura;1773.RAI.014;jumlah unit;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae;760501;Pamboborang;7605012012;KT. Sandang;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Punggul;5103032014;;;;;5886;Peningkatan Produksi Buah dan Florikultura;Kawasan Durian;5886.RAI.012;luas kawasan;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Barat;76;Majene;7605;Banggae;760501;Pamboborang;7605012012;KT. Burasoppeng;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Sangeh;5103032013;;;;;5886;Peningkatan Produksi Buah dan Florikultura;Kawasan Mangga;5886.RAI.013;luas kawasan;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Jawa Tengah;33;Temanggung;3323;Ngadirejo;332309;Katekan;3323092011;KT. Budi Lestari II;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Sedang;5103032006;;;;;5886;Peningkatan Produksi Buah dan Florikultura;Kawasan Salak;5886.RAI.014;luas kawasan;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sumatera Utara;12;Mandaliling Natal;1213;Panyabungan Selatan;121304;Hutarimbaru;1213042002;KT. Saba Panopahan Utara;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Selat;5103032017;;;;;5886;Peningkatan Produksi Buah dan Florikultura;Kawasan Anggur;5886.RAI.015;luas kawasan;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sumatera Utara;12;Mandaliling Natal;1213;Ulu Pungkut;121311;Simpang Banyak Jae;1213112008;KT. Melati KT. Saba Tondang;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Sibanggede;5103032003;;;;;5886;Peningkatan Produksi Buah dan Florikultura;Kawasan Jeruk;5886.RAI.016;luas kawasan;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sumatera Utara;12;Mandaliling Natal;1213;Ulu Pungkut;121311;Huta Padang UP;1213112004;KT. Pagaran Jaya;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Sibangkaja;5103032002;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sumatera Utara;12;Mandaliling Natal;1213;Ulu Pungkut;121311;Habincaran;1213112002;KT. Harapan Baru I;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Taman;5103032010;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sumatera Utara;12;Mandaliling Natal;1213;Ulu Pungkut;121311;Muara Saladi;1213082037;KT. Harapan Maju II;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Kedonganan;5103011003;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sumatera Utara;12;Mandaliling Natal;1213;Panyabungan;121304;Tano Bato;1213041009;KT. Saba Tondang;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Kuta;5103011002;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sumatera Utara;12;Mandaliling Natal;1213;Panyabungan;121304;Tano Bato;1213041009;KT. Saba Panggu;Volume;Kilogram;3;1.000,00;;;Bantuan sudah diterima;;;Legian;5103011004;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Parinding;7316032007;KT. Bulean;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Seminyak;5103011005;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Parinding;7316032007;KT. Takocci Sukses;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Tuban;5103011001;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Pandung Batu;7316032023;KT. Paccambura;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Benoa;5103051004;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Janggurara;7316032019;KT. Sabana Raya;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Jimbaran;5103051006;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Perangian;7316032015;KT. Buntu Marari 1;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Kutuh;5103052003;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Perangian;7316032015;KT. Kallang Marari;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Pecatu;5103052001;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Banti;7316032003;KT. Bubun Peka;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Tanjung Benoa;5103051005;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Banti;7316032003;KT. Keinawa;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Ungasan;5103052002;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Enrekang;731602;Tobalu;7316022014;KT. Bunga Kopi;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Canggu;5103062005;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Enrekang;731602;Tobalu;7316022014;KT. Tiro Padang;Volume;Kilogram;3;825;;;Bantuan sudah diterima;;;Dalung;5103062006;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Anggeraja;731604;Lakawan;7316041001;KT. Mappadeceng;Volume;Kilogram;3;450;;;Bantuan sudah diterima;;;Kerobokan;5103061002;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Merah;2;2025;Sulawesi Selatan;73;Enrekang;7316;Baraka;731603;Pandung Batu;7316032023;KT. Harapan Baru;Volume;Kilogram;3;450;;;Bantuan sudah diterima;;;Kerobokan Kaja;5103061003;;;;;;;;;;;;;;;;
Direktorat Sayuran dan Tanaman Obat;4;Peningkatan Produksi Sayuran dan Tanaman Obat;1771;Kawasan Bawang Putih;1771.RAI.014;Bawang Putih;1;2026;Jawa Tengah;33;Karanganyar;3313;Ngargoyoso;331307;Segorogunung;3313072004;Gapoktan Citra Lawu;Luas;Ha;1;60;;;Bantuan sudah diterima;;;Kerobokan Kelod;5103061001;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Jawa Timur;35;Ngawi;3521;Ngrambe;352102;Giriharjo;3521022002;Gapoktan Tani Lestari;Luas;Ha;1;50;;;Bantuan sudah diterima;;;Tibubeneng;5103062004;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Jawa Tengah;33;Tegal;3328;Bojong;332803;Tuwel;3328032006;Budi Luhur;Luas;Ha;1;30;;;Bantuan sudah diterima;;;Abianbase;5103021014;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2026;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sajang;5203152003;Karisma Rinjani;Luas;Ha;1;25;;;Bantuan sudah diterima;;;Baha;5103022008;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Sempaga Daya;Luas;Ha;1;25;;;Bantuan sudah diterima;;;Buduk;5103022002;;;;;;;;;;;;;;;;
Direktorat Sayuran dan Tanaman Obat;4;Peningkatan Produksi Sayuran dan Tanaman Obat;1771;Kawasan Bawang Putih;1771.RAI.014;Bawang Putih;1;2026;Jawa Tengah;33;Semarang;3322;Getasan;332201;Batur;3322012002;Cipto Manunggal;Luas;Ha;1;25;;;Bantuan sudah diterima;;;Cemagi;5103022017;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Harapan Tani;Luas;Ha;1;20;;;Bantuan sudah diterima;;;Gulingan;5103022012;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Sulawesi Selatan;73;Barru;7311;Mallusetasi;731105;Nepo;7311052006;Mattirobulu;Luas;Ha;1;20;;;Bantuan sudah diterima;;;Kapal;5103021004;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Sulawesi Selatan;73;Luwu Timur;7324;Wotu;732406;Tarengge;7324062002;Mattiro Kanja;Luas;Ha;1;20;;;Bantuan sudah diterima;;;Kekeran;5103022010;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Sulawesi Selatan;73;Bulukumba;7302;Kindang;730208;Orogading;7302082009;KTH Oro Bukit Mas;Luas;Ha;1;20;;;Bantuan sudah diterima;;;Kuwun;5103022020;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Sulawesi Tengah;72;Parigi Moutong;7208;Bolano Lambunu;720807;Bukit Makmur;7208072036;Bukit Berlian;Luas;Ha;1;20;;;Bantuan sudah diterima;;;Lukluk;5103021016;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Maju Wangi;Luas;Ha;1;18;;;Bantuan sudah diterima;;;Mengwi;5103022009;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Anak Dara I;Luas;Ha;1;17;;;Bantuan sudah diterima;;;Mengwitani;5103022003;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Orong Keterik;Luas;Ha;1;17;;;Bantuan sudah diterima;;;Munggu;5103022001;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Tunas Muda;Luas;Ha;1;17;;;Bantuan sudah diterima;;;Penarungan;5103022006;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Bale Ijuk I;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Pererenan;5103022018;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2026;Jawa Tengah;33;Pekalongan;3326;Petungkriyono;332604;Tlogohendro;3326042003;Rejosari;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Sading;5103021015;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2026;Jawa Tengah;33;Pekalongan;3326;Petungkriyono;332604;Tlogohendro;3326042003;Klindon;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Sembung;5103022007;;20.510,00;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2026;Jawa Tengah;33;Kendal;3324;Plantungan;332401;Kediten;3324012002;Sari Mulyo;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Sempidi;5103021005;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Sulawesi Selatan;73;Sinjai;7307;Tellu Limpoe;730708;Lembang Lohe;7307082006;KT. Beringin;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Sobangan;5103022011;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Sulawesi Tengah;72;Poso;7202;Pamona Timur;720205;Kamba;7202052006;Milenial Legowo;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Tumbakbayuh;5103022019;;;;;;;;;;;;;;;;
Direktorat Pelindungan;3;Perlindungan Hortikultura;1773;Area Pengendalian OPT Hortikultura;1773.RAI.010;Cabai;3;2025;Jawa Barat;32;Garut;3205;Banyuresmi;320506;Karyasari;3205062013;Curug Petir;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Werdi Bhuwana;5103022013;;;;;;;;;;;;;;;;
Direktorat Sayuran dan Tanaman Obat;4;Peningkatan Produksi Sayuran dan Tanaman Obat;1771;Kawasan Bawang Putih;1771.RAI.014;Bawang Putih;1;2026;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Bale ijuk I;Luas;Ha;1;15;;;Bantuan sudah diterima;;;Belok/Sidan;5103042003;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2026;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun;5203152005;Pada Angen;Luas;Ha;1;14;;;Bantuan sudah diterima;;;Carangsari;5103042001;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2026;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Lawang;5203152002;Orong Buatan;Luas;Ha;1;14;;;Bantuan sudah diterima;;;Getasan;5103042005;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Pusuk Pujata;Luas;Ha;1;14;;;Bantuan sudah diterima;;;Pangsan;5103042006;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2026;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sajang;5203152003;Kubur Nunggal;Luas;Ha;1;13;;;Bantuan sudah diterima;;;Pelaga;5103042004;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Orong Pusuk;Luas;Ha;1;13;;;Bantuan sudah diterima;;;Petang;5103042002;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Bumbung;5203152001;Sinar Tani;Luas;Ha;1;13;;;Bantuan sudah diterima;;;Sulangai;5103042007;;;;;;;;;;;;;;;;
Direktorat Buah dan Florikultura;5;Peningkatan Produksi Buah dan Florikultura;5886;Kawasan Durian;5886.RAI.012;Durian;5;2026;Sulawesi Tengah;72;Poso;7202;Pamona Timur;720205;Kamba;7202052006;Pakambia Milenial;Luas;Ha;1;13;;;Bantuan sudah diterima;;;Bebalang;5106021003;;;;;;;;;;;;;;;;
Direktorat Sayuran dan Tanaman Obat;4;Peningkatan Produksi Sayuran dan Tanaman Obat;1771;Kawasan Bawang Putih;1771.RAI.014;Bawang Putih;1;2026;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Timba Gading;5203152006;Gapoktan Milenial;Luas;Ha;1;13;;;Bantuan sudah diterima;;;Bunutin;5106022001;;;;;;;;;;;;;;;;
Direktorat Perbenihan;2;Perbenihan Hortikultura;4581;Benih Sebar Umbi/Rimpang Hortikultura;4581.RAI.010;Bawang Putih;1;2025;Nusa Tenggara Barat;52;Lombok Timur;5203;Sembalun;520315;Sembalun Lawang;5203152002;Bangkit Bersama;Luas;Ha;1;12,3;;;Bantuan sudah diterima;;;Cempaga;5106021005;;;;;;;;;;;;;;;;
