kode_prov;nama_prov;kode_kab;nama_kab;kode_kec;nama_kec;kode_desa;nama_desa
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032008;Abiansemal
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032016;Abiansemal Dauh Yeh Cani
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032005;Angantaka
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032012;Ayunan
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032011;Blahkiuh
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032009;Bongkasa
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032018;Bongkasa Pertiwi
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032001;Darmasaba
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032004;Jagapati
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032007;Mambal
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032015;Mekar Bhuwana
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032014;Punggul
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032013;Sangeh
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032006;Sedang
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032017;Selat
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032003;Sibanggede
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032002;Sibangkaja
51;BALI;5103;KAB. BADUNG;510303;Abiansemal;5103032010;Taman
51;BALI;5103;KAB. BADUNG;510301;Kuta;5103011003;Kedonganan
51;BALI;5103;KAB. BADUNG;510301;Kuta;5103011002;Kuta
51;BALI;5103;KAB. BADUNG;510301;Kuta;5103011004;Legian
51;BALI;5103;KAB. BADUNG;510301;Kuta;5103011005;Seminyak
51;BALI;5103;KAB. BADUNG;510301;Kuta;5103011001;Tuban
51;BALI;5103;KAB. BADUNG;510305;Kuta Selatan;5103051004;Benoa
51;BALI;5103;KAB. BADUNG;510305;Kuta Selatan;5103051006;Jimbaran
51;BALI;5103;KAB. BADUNG;510305;Kuta Selatan;5103052003;Kutuh
51;BALI;5103;KAB. BADUNG;510305;Kuta Selatan;5103052001;Pecatu
51;BALI;5103;KAB. BADUNG;510305;Kuta Selatan;5103051005;Tanjung Benoa
51;BALI;5103;KAB. BADUNG;510305;Kuta Selatan;5103052002;Ungasan
51;BALI;5103;KAB. BADUNG;510306;Kuta Utara;5103062005;Canggu
51;BALI;5103;KAB. BADUNG;510306;Kuta Utara;5103062006;Dalung
51;BALI;5103;KAB. BADUNG;510306;Kuta Utara;5103061002;Kerobokan
51;BALI;5103;KAB. BADUNG;510306;Kuta Utara;5103061003;Kerobokan Kaja
51;BALI;5103;KAB. BADUNG;510306;Kuta Utara;5103061001;Kerobokan Kelod
51;BALI;5103;KAB. BADUNG;510306;Kuta Utara;5103062004;Tibubeneng
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103021014;Abianbase
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022008;Baha
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022002;Buduk
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022017;Cemagi
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022012;Gulingan
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103021004;Kapal
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022010;Kekeran
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022020;Kuwun
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103021016;Lukluk
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022009;Mengwi
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022003;Mengwitani
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022001;Munggu
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022006;Penarungan
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022018;Pererenan
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103021015;Sading
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022007;Sembung
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103021005;Sempidi
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022011;Sobangan
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022019;Tumbakbayuh
51;BALI;5103;KAB. BADUNG;510302;Mengwi;5103022013;Werdi Bhuwana
51;BALI;5103;KAB. BADUNG;510304;Petang;5103042003;Belok/Sidan
51;BALI;5103;KAB. BADUNG;510304;Petang;5103042001;Carangsari
51;BALI;5103;KAB. BADUNG;510304;Petang;5103042005;Getasan
51;BALI;5103;KAB. BADUNG;510304;Petang;5103042006;Pangsan
