kode_prov;nama_prov;kode_kab;nama_kab
11;ACEH;1101;KAB. ACEH SELATAN
11;ACEH;1102;KAB. ACEH TENGGARA
11;ACEH;1103;KAB. ACEH TIMUR
11;ACEH;1104;KAB. ACEH TENGAH
11;ACEH;1105;KAB. ACEH BARAT
11;ACEH;1106;KAB. ACEH BESAR
11;ACEH;1107;KAB. PIDIE
11;ACEH;1108;KAB. ACEH UTARA
11;ACEH;1109;KAB. SIMEULUE
11;ACEH;1110;KAB. ACEH SINGKIL
11;ACEH;1111;KAB. BIREUEN
11;ACEH;1112;KAB. ACEH BARAT DAYA
11;ACEH;1113;KAB. GAYO LUES
11;ACEH;1114;KAB. ACEH JAYA
11;ACEH;1115;KAB. NAGAN RAYA
11;ACEH;1116;KAB. ACEH TAMIANG
11;ACEH;1117;KAB. BENER MERIAH
11;ACEH;1118;KAB. PIDIE JAYA
11;ACEH;1171;KOTA BANDA ACEH
11;ACEH;1172;KOTA SABANG
11;ACEH;1173;KOTA LHOKSEUMAWE
11;ACEH;1174;KOTA LANGSA
11;ACEH;1175;KOTA SUBULUSSALAM
12;SUMATERA UTARA;1201;KAB. TAPANULI TENGAH
12;SUMATERA UTARA;1202;KAB. TAPANULI UTARA
12;SUMATERA UTARA;1203;KAB. TAPANULI SELATAN
12;SUMATERA UTARA;1204;KAB. NIAS
12;SUMATERA UTARA;1205;KAB. LANGKAT
12;SUMATERA UTARA;1206;KAB. KARO
12;SUMATERA UTARA;1207;KAB. DELI SERDANG
12;SUMATERA UTARA;1208;KAB. SIMALUNGUN
12;SUMATERA UTARA;1209;KAB. ASAHAN
12;SUMATERA UTARA;1210;KAB. LABUHANBATU
12;SUMATERA UTARA;1211;KAB. DAIRI
12;SUMATERA UTARA;1212;KAB. TOBA
12;SUMATERA UTARA;1213;KAB. MANDAILING NATAL
12;SUMATERA UTARA;1214;KAB. NIAS SELATAN
12;SUMATERA UTARA;1215;KAB. PAKPAK BHARAT
12;SUMATERA UTARA;1216;KAB. HUMBANG HASUNDUTAN
12;SUMATERA UTARA;1217;KAB. SAMOSIR
12;SUMATERA UTARA;1218;KAB. SERDANG BEDAGAI
12;SUMATERA UTARA;1219;KAB. BATU BARA
12;SUMATERA UTARA;1220;KAB. PADANG LAWAS UTARA
12;SUMATERA UTARA;1221;KAB. PADANG LAWAS
12;SUMATERA UTARA;1222;KAB. LABUHANBATU SELATAN
12;SUMATERA UTARA;1223;KAB. LABUHANBATU UTARA
12;SUMATERA UTARA;1224;KAB. NIAS UTARA
12;SUMATERA UTARA;1225;KAB. NIAS BARAT
12;SUMATERA UTARA;1271;KOTA MEDAN
12;SUMATERA UTARA;1272;KOTA PEMATANGSIANTAR
12;SUMATERA UTARA;1273;KOTA SIBOLGA
12;SUMATERA UTARA;1274;KOTA TANJUNG BALAI
12;SUMATERA UTARA;1275;KOTA BINJAI
12;SUMATERA UTARA;1276;KOTA TEBING TINGGI
12;SUMATERA UTARA;1277;KOTA PADANGSIDIMPUAN
12;SUMATERA UTARA;1278;KOTA GUNUNGSITOLI
13;SUMATERA BARAT;1301;KAB. PESISIR SELATAN
13;SUMATERA BARAT;1302;KAB. SOLOK
13;SUMATERA BARAT;1303;KAB. SIJUNJUNG
13;SUMATERA BARAT;1304;KAB. TANAH DATAR
13;SUMATERA BARAT;1305;KAB. PADANG PARIAMAN
13;SUMATERA BARAT;1306;KAB. AGAM
13;SUMATERA BARAT;1307;KAB. LIMA PULUH KOTA
13;SUMATERA BARAT;1308;KAB. PASAMAN
13;SUMATERA BARAT;1309;KAB. KEPULAUAN MENTAWAI
13;SUMATERA BARAT;1310;KAB. DHARMASRAYA
13;SUMATERA BARAT;1311;KAB. SOLOK SELATAN
13;SUMATERA BARAT;1312;KAB. PASAMAN BARAT
13;SUMATERA BARAT;1371;KOTA PADANG
13;SUMATERA BARAT;1372;KOTA SOLOK
13;SUMATERA BARAT;1373;KOTA SAWAHLUNTO
13;SUMATERA BARAT;1374;KOTA PADANG PANJANG
13;SUMATERA BARAT;1375;KOTA BUKITTINGGI
13;SUMATERA BARAT;1376;KOTA PAYAKUMBUH
13;SUMATERA BARAT;1377;KOTA PARIAMAN
14;RIAU;1401;KAB. KAMPAR
14;RIAU;1402;KAB. INDRAGIRI HULU
14;RIAU;1403;KAB. BENGKALIS
14;RIAU;1404;KAB. INDRAGIRI HILIR
14;RIAU;1405;KAB. PELALAWAN
14;RIAU;1406;KAB. ROKAN HULU
14;RIAU;1407;KAB. ROKAN HILIR
14;RIAU;1408;KAB. SIAK
14;RIAU;1409;KAB. KUANTAN SINGINGI
14;RIAU;1410;KAB. KEPULAUAN MERANTI
14;RIAU;1471;KOTA PEKANBARU
14;RIAU;1472;KOTA DUMAI
15;JAMBI;1501;KAB. KERINCI
15;JAMBI;1502;KAB. MERANGIN
15;JAMBI;1503;KAB. SAROLANGUN
15;JAMBI;1504;KAB. BATANGHARI
15;JAMBI;1505;KAB. MUARO JAMBI
15;JAMBI;1506;KAB. TANJUNG JABUNG BARAT
15;JAMBI;1507;KAB. TANJUNG JABUNG TIMUR
15;JAMBI;1508;KAB. BUNGO
15;JAMBI;1509;KAB. TEBO
15;JAMBI;1571;KOTA JAMBI
15;JAMBI;1572;KOTA SUNGAI PENUH
16;SUMATERA SELATAN;1601;KAB. OGAN KOMERING ULU
16;SUMATERA SELATAN;1602;KAB. OGAN KOMERING ILIR
16;SUMATERA SELATAN;1603;KAB. MUARA ENIM
16;SUMATERA SELATAN;1604;KAB. LAHAT
16;SUMATERA SELATAN;1605;KAB. MUSI RAWAS
16;SUMATERA SELATAN;1606;KAB. MUSI BANYUASIN
16;SUMATERA SELATAN;1607;KAB. BANYUASIN
16;SUMATERA SELATAN;1608;KAB. OGAN KOMERING ULU TIMUR
16;SUMATERA SELATAN;1609;KAB. OGAN KOMERING ULU SELATAN
16;SUMATERA SELATAN;1610;KAB. OGAN ILIR
16;SUMATERA SELATAN;1611;KAB. EMPAT LAWANG
16;SUMATERA SELATAN;1612;KAB. PENUKAL ABAB LEMATANG ILIR
16;SUMATERA SELATAN;1613;KAB. MUSI RAWAS UTARA
16;SUMATERA SELATAN;1671;KOTA PALEMBANG
16;SUMATERA SELATAN;1672;KOTA PAGAR ALAM
16;SUMATERA SELATAN;1673;KOTA LUBUK LINGGAU
16;SUMATERA SELATAN;1674;KOTA PRABUMULIH
17;BENGKULU;1701;KAB. BENGKULU SELATAN
17;BENGKULU;1702;KAB. REJANG LEBONG
17;BENGKULU;1703;KAB. BENGKULU UTARA
17;BENGKULU;1704;KAB. KAUR
17;BENGKULU;1705;KAB. SELUMA
17;BENGKULU;1706;KAB. MUKO MUKO
17;BENGKULU;1707;KAB. LEBONG
17;BENGKULU;1708;KAB. KEPAHIANG
17;BENGKULU;1709;KAB. BENGKULU TENGAH
17;BENGKULU;1771;KOTA BENGKULU
18;LAMPUNG;1801;KAB. LAMPUNG SELATAN
18;LAMPUNG;1802;KAB. LAMPUNG TENGAH
18;LAMPUNG;1803;KAB. LAMPUNG UTARA
18;LAMPUNG;1804;KAB. LAMPUNG BARAT
18;LAMPUNG;1805;KAB. TULANG BAWANG
18;LAMPUNG;1806;KAB. TANGGAMUS
18;LAMPUNG;1807;KAB. LAMPUNG TIMUR
18;LAMPUNG;1808;KAB. WAY KANAN
18;LAMPUNG;1809;KAB. PESAWARAN
18;LAMPUNG;1810;KAB. PRINGSEWU
18;LAMPUNG;1811;KAB. MESUJI
18;LAMPUNG;1812;KAB. TULANG BAWANG BARAT
18;LAMPUNG;1813;KAB. PESISIR BARAT
18;LAMPUNG;1871;KOTA BANDAR LAMPUNG
18;LAMPUNG;1872;KOTA METRO
