kode_prov;nama_prov;kode_kab;nama_kab;kode_kec;nama_kec
51;BALI;5103;KAB. BADUNG;510303;Abiansemal
51;BALI;5103;KAB. BADUNG;510301;Kuta
51;BALI;5103;KAB. BADUNG;510305;Kuta Selatan
51;BALI;5103;KAB. BADUNG;510306;Kuta Utara
51;BALI;5103;KAB. BADUNG;510302;Mengwi
51;BALI;5103;KAB. BADUNG;510304;Petang
51;BALI;5106;KAB. BANGLI;510602;Bangli
51;BALI;5106;KAB. BANGLI;510604;Kintamani
51;BALI;5106;KAB. BANGLI;510601;Susut
51;BALI;5106;KAB. BANGLI;510603;Tembuku
51;BALI;5108;KAB. BULELENG;510804;Banjar
51;BALI;5108;KAB. BULELENG;510806;Buleleng
51;BALI;5108;KAB. BULELENG;510803;Busungbiu
51;BALI;5108;KAB. BULELENG;510801;Gerokgak
51;BALI;5108;KAB. BULELENG;510808;Kubutambahan
51;BALI;5108;KAB. BULELENG;510807;Sawan
51;BALI;5108;KAB. BULELENG;510802;Seririt
51;BALI;5108;KAB. BULELENG;510805;Sukasada
51;BALI;5108;KAB. BULELENG;510809;Tejakula
51;BALI;5104;KAB. GIANYAR;510402;Blahbatuh
51;BALI;5104;KAB. GIANYAR;510403;Gianyar
51;BALI;5104;KAB. GIANYAR;510407;Payangan
51;BALI;5104;KAB. GIANYAR;510401;Sukawati
51;BALI;5104;KAB. GIANYAR;510404;Tampaksiring
51;BALI;5104;KAB. GIANYAR;510406;Tegallalang
51;BALI;5104;KAB. GIANYAR;510405;Ubud
51;BALI;5101;KAB. JEMBRANA;510105;Jembrana
51;BALI;5101;KAB. JEMBRANA;510104;Melaya
51;BALI;5101;KAB. JEMBRANA;510102;Mendoyo
51;BALI;5101;KAB. JEMBRANA;510101;Negara
51;BALI;5101;KAB. JEMBRANA;510103;Pekutatan
51;BALI;5107;KAB. KARANGASEM;510705;Abang
51;BALI;5107;KAB. KARANGASEM;510706;Bebandem
51;BALI;5107;KAB. KARANGASEM;510704;Karangasem
51;BALI;5107;KAB. KARANGASEM;510708;Kubu
51;BALI;5107;KAB. KARANGASEM;510703;Manggis
51;BALI;5107;KAB. KARANGASEM;510701;Rendang
51;BALI;5107;KAB. KARANGASEM;510707;Selat
51;BALI;5107;KAB. KARANGASEM;510702;Sidemen
51;BALI;5105;KAB. KLUNGKUNG;510502;Banjarangkan
51;BALI;5105;KAB. KLUNGKUNG;510504;Dawan
51;BALI;5105;KAB. KLUNGKUNG;510503;Klungkung
51;BALI;5105;KAB. KLUNGKUNG;510501;Nusa Penida
51;BALI;5102;KAB. TABANAN;510209;Baturiti
51;BALI;5102;KAB. TABANAN;510206;Kediri
51;BALI;5102;KAB. TABANAN;510204;Kerambitan
51;BALI;5102;KAB. TABANAN;510207;Marga
51;BALI;5102;KAB. TABANAN;510208;Penebel
51;BALI;5102;KAB. TABANAN;510210;Pupuan
51;BALI;5102;KAB. TABANAN;510202;Salamadeg Timur
51;BALI;5102;KAB. TABANAN;510203;Salemadeg Barat
51;BALI;5102;KAB. TABANAN;510201;Selemadeg
51;BALI;5102;KAB. TABANAN;510205;Tabanan
51;BALI;5171;KOTA DENPASAR;517103;Denpasar Barat
51;BALI;5171;KOTA DENPASAR;517101;Denpasar Selatan
51;BALI;5171;KOTA DENPASAR;517102;Denpasar Timur
51;BALI;5171;KOTA DENPASAR;517104;Denpasar Utara
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520610;Ambalawi
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520604;Belo
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520602;Bolo
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520608;Donggo
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520617;Lambitu
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520612;Lambu
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520611;Langgudu
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520613;Madapangga
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520601;Monta
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520618;Palibelo
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520616;Parado
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520609;Sanggar
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520606;Sape
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520615;Soromandi
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520614;Tambora
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520605;Wawo
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520607;Wera
52;NUSA TENGGARA BARAT;5206;KAB. BIMA;520603;Woha
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520501;Dompu
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520503;Hu'u
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520502;Kempo
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520504;Kilo
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520507;Manggalewa
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520508;Pajo
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520506;Pekat
52;NUSA TENGGARA BARAT;5205;KAB. DOMPU;520505;Woja
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520114;Batu Layar
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520101;Gerung
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520109;Gunungsari
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520102;Kediri
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520115;Kuripan
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520108;Labuapi
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520113;Lembar
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520112;Lingsar
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520103;Narmada
52;NUSA TENGGARA BARAT;5201;KAB. LOMBOK BARAT;520107;Sekotong
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520203;Batukliang
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520212;Batukliang Utara
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520207;Janapria
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520202;Jonggat
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520209;Kopang
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520201;Praya
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520205;Praya Barat
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520211;Praya Barat Daya
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520210;Praya Tengah
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520206;Praya Timur
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520208;Pringgarata
52;NUSA TENGGARA BARAT;5202;KAB. LOMBOK TENGAH;520204;Pujut
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520309;Aikmel
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520320;Jerowaru
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520301;Keruak
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520317;Labuhan Haji
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520321;Lenek
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520305;Masbagik
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520311;Montong Gading
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520308;Pringgabaya
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520312;Pringgasela
52;NUSA TENGGARA BARAT;5203;KAB. LOMBOK TIMUR;520302;Sakra
