kd_direktorat;nama_direktorat;kd_kegiatan;nama_kegiatan;jenis_output;Satuan
1771;Peningkatan Produksi Sayuran dan Tanaman Obat;1771.QDD.011;Pekarangan Hortikultura;jumlah kelompok;Kelompok Masyarakat
1771;Peningkatan Produksi Sayuran dan Tanaman Obat;1771.RAI.010;Kawasan Bawang Merah;luas kawasan;Ha
1771;Peningkatan Produksi Sayuran dan Tanaman Obat;1771.RAI.011;Kawasan Aneka Cabai;luas kawasan;Ha
1771;Peningkatan Produksi Sayuran dan Tanaman Obat;1771.RAI.014;Kawasan Bawang Putih;luas kawasan;Ha
4581;Perbenihan Hortikultura;4581.PDC.021;Sertifikat Tanda Daftar Varietas Hortikultura;jumlah produk;Produk
4581;Perbenihan Hortikultura;4581.QKB.011;Peredaran benih hortikultura yang diawasi;jumlah produk;Produk
4581;Perbenihan Hortikultura;4581.RAI.010;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;Hektar
4581;Perbenihan Hortikultura;4581.RAI.011;Benih Sebar Batang Hortikultura;jumlah unit;Unit
1773;Perlindungan Hortikultura;1773.RAI.010;Area Pengendalian OPT Hortikultura;jumlah unit;Unit
1773;Perlindungan Hortikultura;1773.RAI.013;Area Penanganan DPI Hortikultura;luas kawasan;Hektar
1773;Perlindungan Hortikultura;1773.RAI.014;Sarana Perlindungan Hortikultura;jumlah unit;Unit
5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;Ha
5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.013;Kawasan Mangga;luas kawasan;Ha
5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.014;Kawasan Salak;luas kawasan;Ha
5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.015;Kawasan Anggur;luas kawasan;Ha
5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.016;Kawasan Jeruk;luas kawasan;Ha
