id;kom;grpkom;nama;fgroup;fdetail;idt;jenissph;satuanluas;satuanproduksi;sign
1;BWD;BWD;Bawang Daun;1;1;0125401000;SBS;Hektar;Kuintal;masterkom
2;BMR;BMR;Bawang Merah;1;1;0125302000;SBS;Hektar;Kuintal;masterkom
3;BPT;BPT;Bawang Putih;1;1;0125200000;SBS;Hektar;Kuintal;masterkom
4;BYMSY;BYMSY;Bayam;0;1;0121500000;SBS;Hektar;Kuintal;masterkom
5;BCS;BCS;Buncis;1;1;0124102000;SBS;Hektar;Kuintal;masterkom
6;CBBTW;CBB;Cabai Besar/ TW / Teropong;1;1;0123101000;SBS;Hektar;Kuintal;masterkom
7;CBBKR;CBB;Cabai Keriting;0;1;0123101015;SBS;Hektar;Kuintal;masterkom
8;CRW;CRW;Cabai Rawit;1;1;0123102000;SBS;Hektar;Kuintal;masterkom
9;JMRLL;JMR;Jamur Lainnya;0;1;0127000999;SBS;M2;Kuintal;masterkom
10;JMRMR;JMR;Jamur Merang;0;1;0127000002;SBS;M2;Kuintal;masterkom
11;JMRTR;JMR;Jamur Tiram;0;1;0127000006;SBS;M2;Kuintal;masterkom
12;KCGPJ;KCGPJ;Kacang Panjang;0;1;0124101000;SBS;Hektar;Kuintal;masterkom
13;KKG;KKG;Kangkung;1;1;0121901000;SBS;Hektar;Kuintal;masterkom
14;KBK;KBK;Kembang Kol;1;1;0121301000;SBS;Hektar;Kuintal;masterkom
15;KTG;KTG;Kentang;1;1;0151001000;SBS;Hektar;Kuintal;masterkom
16;KBS;KBS;Kubis;1;1;0121200000;SBS;Hektar;Kuintal;masterkom
17;LBUSI;LBUSI;Labu Siam;0;1;0123501003;SBS;Hektar;Kuintal;masterkom
18;MLN;MLN;Melon;1;1;0122900000;SBS;Hektar;Kuintal;masterkom
19;TMN;TMN;Mentimun;1;1;0123200000;SBS;Hektar;Kuintal;masterkom
20;PPR;PPR;Paprika;1;1;0123101003;SBS;Hektar;Kuintal;masterkom
21;SWI;SWI;Petsai/Sawi;0;1;0121902000;SBS;Hektar;Kuintal;masterkom
22;SMK;SMK;Semangka;1;1;0122100000;SBS;Hektar;Kuintal;masterkom
23;SBR;SBR;Stroberi;1;1;0134400000;SBS;Hektar;Kuintal;masterkom
24;TRG;TRG;Terung;1;1;0123300000;SBS;Hektar;Kuintal;masterkom
25;TMT;TMT;Tomat;1;1;0123400000;SBS;Hektar;Kuintal;masterkom
26;WTL;WTL;Wortel;1;1;0125101000;SBS;Hektar;Kuintal;masterkom
27;ALP;ALP;Alpukat;1;1;0131100000;BST;Pohon;Kuintal;masterkom
28;ANG;ANG;Anggur;1;1;0133000000;BST;Pohon;Kuintal;masterkom
29;APL;APL;Apel;1;1;0135100000;BST;Pohon;Kuintal;masterkom
30;BLI;BLI;Belimbing;1;1;0131901000;BST;Pohon;Kuintal;masterkom
31;NAG;NAG;Buah Naga;1;1;0131931000;BST;Rumpun;Kuintal;masterkom
32;DKU;DKU;Duku/Langsat/Kokosan;1;1;0131907000;BST;Pohon;Kuintal;masterkom
33;DUR;DUR;Durian;1;1;0131904000;BST;Pohon;Kuintal;masterkom
34;JBA;JBA;Jambu Air;0;1;0131905002;BST;Pohon;Kuintal;masterkom
35;JBJ;JBJ;Jambu Biji;1;1;0131905001;BST;Pohon;Kuintal;masterkom
36;JKL;JKL;Jengkol;1;1;0123904000;BST;Pohon;Kuintal;masterkom
37;JRKLM;JRK;Jeruk Lemon;0;1;0132201000;BST;Pohon;Kuintal;masterkom
38;JRKBS;JRK;Jeruk Pamelo;0;0;0132100000;BST;Pohon;Kuintal;masterkom
39;JRKSI;JRK;Jeruk Siam/Keprok;0;0;0132400000;BST;Pohon;Kuintal;masterkom
40;LKG;LKG;Lengkeng;1;1;0131914000;BST;Pohon;Kuintal;masterkom
41;MGA;MGA;Mangga;1;1;0131600000;BST;Pohon;Kuintal;masterkom
42;MGS;MGS;Manggis;1;1;0131916000;BST;Pohon;Kuintal;masterkom
43;MLJ;MLJ;Melinjo;1;1;0123905000;BST;Pohon;Kuintal;masterkom
44;NNS;NNS;Nanas;1;1;0131800000;BST;Rumpun;Kuintal;masterkom
45;NKA;NKA;Nangka/Cempedak;1;1;0131911000;BST;Pohon;Kuintal;masterkom
46;PPY;PPY;Pepaya;1;1;0131701000;BST;Pohon;Kuintal;masterkom
47;PTE;PTE;Petai;1;1;0123901000;BST;Pohon;Kuintal;masterkom
48;PSG;PSG;Pisang;1;1;0131201000;BST;Rumpun;Kuintal;masterkom
49;RBT;RBT;Rambutan;1;1;0131903000;BST;Pohon;Kuintal;masterkom
50;SLK;SLK;Salak;1;1;0131910000;BST;Rumpun;Kuintal;masterkom
51;SWO;SWO;Sawo;1;1;0131906000;BST;Pohon;Kuintal;masterkom
52;SSK;SSK;Sirsak;1;1;0131902000;BST;Pohon;Kuintal;masterkom
53;SKN;SKN;Sukun;1;1;0131913000;BST;Pohon;Kuintal;masterkom
54;JHE;RMP;Jahe;1;1;0165700000;TBF;M2;Kg;masterkom
55;JRKNP;JRK;Jeruk Nipis;0;1;0132202000;TBF;Pohon;Kg;masterkom
56;KLG;KLG;Kapulaga;1;1;0165302000;TBF;M2;Kg;masterkom
57;KCU;RMP;Kencur;1;1;0169001001;TBF;M2;Kg;masterkom
58;KNY;RMP;Kunyit;1;1;0169001002;TBF;M2;Kg;masterkom
59;LKS;RMP;Laos/Lengkuas;1;1;0169001003;TBF;M2;Kg;masterkom
60;LPY;RMP;Lempuyang;1;1;0169001007;TBF;M2;Kg;masterkom
61;LBY;LBY;Lidah Buaya;1;1;0193004024;TBF;M2;Kg;masterkom
62;MDW;MDW;Mahkota Dewa;1;1;0193001012;TBF;Pohon;Kg;masterkom
63;MDU;MDU;Mengkudu/Pace;1;1;0193001011;TBF;Pohon;Kg;masterkom
64;SBL;SBL;Sambiloto;1;1;0193004023;TBF;M2;Kg;masterkom
65;SREHJ;SREHJ;Serai Hijau;0;1;0193004020;TBF;M2;Kg;masterkom
66;TMUIR;RMP;Temuireng;0;0;0169001009;TBF;M2;Kg;masterkom
67;TMUKC;RMP;Temukunci;0;0;0169001010;TBF;M2;Kg;masterkom
68;TMULW;RMP;Temulawak;0;0;0169001004;TBF;M2;Kg;masterkom
69;AGL;AGL;Aglaonema;1;1;0196201020;TH;M2;Pohon;masterkom
70;AGRPOT;AGRPOT;Anggrek Pot;1;1;0196201001;TH;M2;Pohon;masterkom
71;AGRPTG;AGRPTG;Anggrek Potong;1;1;0196201005;TH;M2;Tangkai;masterkom
72;ATHBU;ATHBU;Anthurium Bunga;0;1;0196201019;TH;M2;Pohon;masterkom
73;BML;BML;Bromelia;0;1;0196202057;TH;M2;Pohon;masterkom
74;BOG;BOG;Bugenvil;1;1;0196202003;TH;M2;Pohon;masterkom
75;COR;COR;Cordyline;1;1;0196201025;TH;M2;Pohon;masterkom
