tahun;direktorat_id;nama_direktorat;kode_kegiatan;nama_kegiatan;kode_rincian_output;nama_rincian_output;jenis_output;komoditas_id;nama_komoditas;satuan_id;nama_satuan;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;jumlah_output;_raw_kegiatan_word;_raw_komoditas_nama;_raw_satuan_nama;;id_direktorat;nama_direktorat;;kode_rincian_output;kode_kegiatan;nama_kegiatan;nama_rincian_output;jenis_output;id_direktorat;;id_komoditas;nama;kd_kom;;id_satuan;nama_satuan;;key_kegiatan_komoditas;kode_rincian_output
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;11;Aceh;1114;Aceh Jaya;50;Kawasan;Durian;Ha;;1;Sekretariat Direktorat Jenderal;;1771.QDD.011;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Pekarangan Hortikultura;jumlah kelompok;4;;1;Bawang Putih;BPT;;1;HA;;Kawasan|Bawang Putih;1771.RAI.014
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;51;Bali;5102;Tabanan;50;Kawasan;Durian;Ha;;2;Direktorat Perbenihan;;1771.RAI.010;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Kawasan Bawang Merah;luas kawasan;4;;2;Bawang Merah;BMR;;2;Kelompok;;Kawasan|Bawang Merah;1771.RAI.010
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;19;Bangka Belitung;1903;Bangka Selatan;45;Kawasan;Durian;Ha;;3;Direktorat Pelindungan;;1771.RAI.011;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Kawasan Aneka Cabai;luas kawasan;4;;3;Cabai;CB;;3;Kilogram;;Kawasan|Cabai;1771.RAI.011
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;19;Bangka Belitung;1902;Belitung;40;Kawasan;Durian;Ha;;4;Direktorat Sayuran dan Tanaman Obat;;1771.RAI.014;1771;Peningkatan Produksi Sayuran dan Tanaman Obat;Kawasan Bawang Putih;luas kawasan;4;;4;Kentang;KTG;;4;Unit;;Kawasan|Durian;5886.RAI.012
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;36;Banten;3601;Pandeglang;50;Kawasan;Durian;Ha;;5;Direktorat Buah dan Florikultura;;4581.PDC.021;4581;Perbenihan Hortikultura;Sertifikat Tanda Daftar Varietas Hortikultura;jumlah produk;2;;5;Durian;DUR;;;;;Pekarangan Pangan Bergizi|P2B;1771.QDD.011
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;34;DI Yogyakarta;3403;GunungKidul;25;Kawasan;Durian;Ha;;6;Direktorat Hilirisasi Hasil Hortikultura;;4581.QKB.011;4581;Perbenihan Hortikultura;Peredaran benih hortikultura yang diawasi;jumlah produk;2;;6;Jagung Manis;JGM;;;;;Benih|Bawang Putih;4581.RAI.010
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;75;Gorontalo;7503;Bone Bolango;100;Kawasan;Durian;Ha;;;;;4581.RAI.010;4581;Perbenihan Hortikultura;Benih Sebar Umbi/Rimpang Hortikultura;luas kawasan;2;;7;P2B;P2B;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;75;Gorontalo;7505;Gorontalo Utara;40;Kawasan;Durian;Ha;;;;;4581.RAI.011;4581;Perbenihan Hortikultura;Benih Sebar Batang Hortikultura;jumlah unit;2;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;75;Gorontalo;7504;Pohuwato;40;Kawasan;Durian;Ha;;;;;1773.RAI.010;1773;Perlindungan Hortikultura;Area Pengendalian OPT Hortikultura;jumlah unit;3;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;32;Jawa Barat;3207;Ciamis;90;Kawasan;Durian;Ha;;;;;1773.RAI.013;1773;Perlindungan Hortikultura;Area Penanganan DPI Hortikultura;luas kawasan;3;;;;;;;;;;
